縣市,管編,公司名稱,地址,製程代碼,製程名稱,類別,類別,類別,有效期限
新北市,F0601789,臺灣湯淺電池股份有限公司,新北市新莊區福營里福營路二二七巷一一號,,,,,,
新北市,F0601789,臺灣湯淺電池股份有限公司,新北市新莊區福營里福營路二二七巷一一號,M01,鉛蓄電池製造之極板製造程序,操作,操作,操作,115/12/30
新北市,F0601789,臺灣湯淺電池股份有限公司,新北市新莊區福營里福營路二二七巷一一號,M02,鉛蓄電池製造之組立程序,操作,操作,操作,115/10/14
新北市,F0602071,友煒企業有限公司,新北市新莊區西盛里新樹路二六八巷二六號之七之八,,,,,,
新北市,F0602071,友煒企業有限公司,新北市新莊區西盛里新樹路二六八巷二六號之七之八,M01,金屬電鍍處理程序,操作,操作,操作,115/05/03
新北市,F0602446,衛生福利部臺北醫院,新北市新莊區思源路一二七號、長青街六號二樓、三樓,,,,,,
新北市,F0602446,衛生福利部臺北醫院,新北市新莊區思源路一二七號、長青街六號二樓、三樓,M01,鍋爐蒸氣產生程序,操作,操作,操作,117/04/11
新北市,F0602455,燿煒實業有限公司,新北市新莊區思源里思源路六一巷六、八號,,,,,,
新北市,F0602455,燿煒實業有限公司,新北市新莊區思源里思源路六一巷六、八號,M01,印刷電路板製造程序,操作,操作,操作,119/05/30
新北市,F0602535,中華電線電纜股份有限公司,新北市新莊區新樹路二九○號,,,,,,
新北市,F0602535,中華電線電纜股份有限公司,新北市新莊區新樹路二九○號,M01,鋁鑄造製造程序,操作,操作,操作,116/01/08
新北市,F0602535,中華電線電纜股份有限公司,新北市新莊區新樹路二九○號,M03,押出成型程序,操作,操作,操作,115/11/14
新北市,F0602660,煜峰企業股份有限公司,新北市新莊區福營里福營路一六五巷四九弄六號,,,,,,
新北市,F0602660,煜峰企業股份有限公司,新北市新莊區福營里福營路一六五巷四九弄六號,M01,電鍍製造程序,操作,操作,操作,119/01/14
新北市,F0602937,尚樺電鍍有限公司,新北市新莊區頭前里化成路七三六巷二八號,,,,,,
新北市,F0602937,尚樺電鍍有限公司,新北市新莊區頭前里化成路七三六巷二八號,M01,金屬電鍍處理程序,操作,操作,操作,116/04/24
新北市,F0603194,庚瑩工業有限公司,新北市新莊區國泰里新樹路六九之六五號,,,,,,
新北市,F0603194,庚瑩工業有限公司,新北市新莊區國泰里新樹路六九之六五號,M01,金屬電鍍處理程序,操作,操作,操作,120/01/11
新北市,F0603390,國豐造漆有限公司,新北市新莊區後港一路一八五號,,,,,,
新北市,F0603390,國豐造漆有限公司,新北市新莊區後港一路一八五號,M01,塗料製造程序,操作,操作,操作,117/03/05
新北市,F0603390,國豐造漆有限公司,新北市新莊區後港一路一八五號,M03,其他化學製品製造程序,操作,操作,操作,116/11/08
新北市,F0603612,星晨電路股份有限公司,新北市新莊區西盛里瓊林南路二七五巷一○號,,,,,,
新北市,F0603612,星晨電路股份有限公司,新北市新莊區西盛里瓊林南路二七五巷一○號,M01,印刷電路板製造程序,操作,操作,操作,116/05/05
新北市,F0603621,九富企業有限公司,新北市新莊區西盛里新樹路四九七巷一三弄二一號,,,,,,
新北市,F0603621,九富企業有限公司,新北市新莊區西盛里新樹路四九七巷一三弄二一號,M01,其他清潔用品製造程序,設置,設置,設置,119/05/05
新北市,F0603809,晟鈦股份有限公司,新北市新莊區西盛里瓊林南路三○五巷二、四、六號及三○七、三○九、三一一、三一三號,,,,,,
新北市,F0603809,晟鈦股份有限公司,新北市新莊區西盛里瓊林南路三○五巷二、四、六號及三○七、三○九、三一一、三一三號,M01,印刷電路板製造程序,操作,操作,操作,119/07/20
新北市,F0605134,一詮精密工業股份有限公司二廠,新北市新莊區五工五路一七、一九號,,,,,,
新北市,F0605134,一詮精密工業股份有限公司二廠,新北市新莊區五工五路一七、一九號,M01,金屬電鍍處理程序,操作,操作,操作,119/06/14
新北市,F0605652,泰棧彩色印刷廠,新北市新莊區建國二路八六巷一七號,,,,,,
新北市,F0605652,泰棧彩色印刷廠,新北市新莊區建國二路八六巷一七號,M01,凹版印刷作業程序,操作,操作,操作,118/04/28
新北市,F0605723,九皇有限公司,新北市新莊區西盛里新樹路三一五巷一四號,,,,,,
新北市,F0605723,九皇有限公司,新北市新莊區西盛里新樹路三一五巷一四號,M01,印染整理程序,操作,操作,操作,116/09/05
新北市,F0605723,九皇有限公司,新北市新莊區西盛里新樹路三一五巷一四號,M02,鍋爐蒸氣產生程序,操作,操作,操作,116/08/28
新北市,F0606104,東誠電線電纜股份有限公司,新北市新莊區西盛里瓊林南路二三九號,,,,,,
新北市,F0606104,東誠電線電纜股份有限公司,新北市新莊區西盛里瓊林南路二三九號,M01,漆包線製造程序,操作,操作,操作,119/07/06
新北市,F0606131,芳福企業有限公司,新北市新莊區福基里化成路三七五巷三五、三七號,,,,,,
新北市,F0606131,芳福企業有限公司,新北市新莊區福基里化成路三七五巷三五、三七號,M01,動物油處理製造程序,操作,操作,操作,116/08/21
新北市,F0610706,協熱工業股份有限公司,新北市新莊區福基里化成路四三一巷六九號,,,,,,
新北市,F0610706,協熱工業股份有限公司,新北市新莊區福基里化成路四三一巷六九號,M01,其他金屬熱處理程序,操作,操作,操作,119/01/13
新北市,F0610733,鼎祐電子工業股份有限公司新莊二廠,新北市新莊區西盛里新樹路三一五巷一三號,,,,,,
新北市,F0610733,鼎祐電子工業股份有限公司新莊二廠,新北市新莊區西盛里新樹路三一五巷一三號,M01,印刷電路板製造程序,操作,操作,操作,117/08/29
新北市,F0620088,三菘企業股份有限公司新莊廠,新北市新莊區西盛里瓊林南路二六五號,,,,,,
新北市,F0620088,三菘企業股份有限公司新莊廠,新北市新莊區西盛里瓊林南路二六五號,M01,其他化學材料製造業製造程序,操作,操作,操作,115/10/22
新北市,F0620597,泰菁電子科技股份有限公司新莊廠,新北市新莊區福營里福營路二五三號二樓,,,,,,
新北市,F0620597,泰菁電子科技股份有限公司新莊廠,新北市新莊區福營里福營路二五三號二樓,M01,印刷電路板製造程序,操作,操作,操作,118/08/10
新北市,F0620604,金瑚表面處理有限公司,新北市新莊區化成里化成路一一巷二七、二九號,,,,,,
新北市,F0620604,金瑚表面處理有限公司,新北市新莊區化成里化成路一一巷二七、二九號,M01,其他金屬品處理加工程序,操作,操作,操作,115/03/08
新北市,F0622199,永坤科技股份有限公司,新北市新莊區福營里福營路二二七巷五五號,,,,,,
新北市,F0622199,永坤科技股份有限公司,新北市新莊區福營里福營路二二七巷五五號,M01,電鍍製造程序,操作,操作,操作,119/02/17
新北市,F0622537,九滎股份有限公司瓊林廠,新北市新莊區西盛里瓊林南路三○一巷二號,,,,,,
新北市,F0622537,九滎股份有限公司瓊林廠,新北市新莊區西盛里瓊林南路三○一巷二號,M02,印染整理程序,操作,操作,操作,119/04/19
新北市,F0622537,九滎股份有限公司瓊林廠,新北市新莊區西盛里瓊林南路三○一巷二號,M03,熱媒加熱程序,操作,操作,操作,119/04/19
新北市,F0622582,鼎恩企業股份有限公司,新北市新莊區西盛里新樹路三八七巷五、七、九號,,,,,,
新北市,F0622582,鼎恩企業股份有限公司,新北市新莊區西盛里新樹路三八七巷五、七、九號,M01,印刷電路板製造程序,操作,操作,操作,115/04/23
新北市,F0623409,立方橡膠工業股份有限公司,新北市新莊區中正路五四四之七號一樓,,,,,,
新北市,F0623409,立方橡膠工業股份有限公司,新北市新莊區中正路五四四之七號一樓,M01,其他橡膠製品製造程序,操作,操作,操作,115/07/22
新北市,F0626277,宏耀實業有限公司,新北市新莊區西盛里新樹路二九三巷六號,,,,,,
新北市,F0626277,宏耀實業有限公司,新北市新莊區西盛里新樹路二九三巷六號,M01,印刷電路板製造程序,操作,操作,操作,118/03/04
新北市,F0626473,裕信汽車股份有限公司,新北市新莊區思源路四○之一號,,,,,,
新北市,F0626473,裕信汽車股份有限公司,新北市新莊區思源路四○之一號,M01,金屬表面塗裝程序,操作,操作,操作,118/11/04
新北市,F0628860,昕毅企業股份有限公司,新北市新莊區民安路三八七巷一二號一樓,,,,,,
新北市,F0628860,昕毅企業股份有限公司,新北市新莊區民安路三八七巷一二號一樓,M01,印刷電路板製造程序,操作,操作,操作,114/12/24
新北市,F06A0634,鉅威彩藝印刷事業有限公司,新北市新莊區化成里化成路一一三巷一七號一樓,,,,,,
新北市,F06A0634,鉅威彩藝印刷事業有限公司,新北市新莊區化成里化成路一一三巷一七號一樓,M01,平版印刷作業程序,操作,操作,操作,119/07/20
新北市,F06A1840,珈晟科技有限公司,新北市新莊區西盛里民安路四二○巷八號、一○號,,,,,,
新北市,F06A1840,珈晟科技有限公司,新北市新莊區西盛里民安路四二○巷八號、一○號,M01,印刷電路板製造程序,操作,操作,操作,119/11/02
新北市,F06A2353,相互股份有限公司,新北市新莊區化成路一九五巷二五號,,,,,,
新北市,F06A2353,相互股份有限公司,新北市新莊區化成路一九五巷二五號,M01,印刷電路板製造程序,設置,設置,設置,119/09/22
新北市,F06A2581,皓智企業股份有限公司,新北市新莊區福興里五權二路二六號四樓之一,,,,,,
新北市,F06A2581,皓智企業股份有限公司,新北市新莊區福興里五權二路二六號四樓之一,M01,其他電子零組件製造程序,操作,操作,操作,118/09/16
新北市,F06A2630,子緯有限公司,新北市新莊區頭前里化成路二一一巷二八號,,,,,,
新北市,F06A2630,子緯有限公司,新北市新莊區頭前里化成路二一一巷二八號,M01,印染整理程序,操作,操作,操作,119/08/24
新北市,F06A3747,頂晟塑膠有限公司,新北市新莊區西盛里新樹路三一三號一樓,,,,,,
新北市,F06A3747,頂晟塑膠有限公司,新北市新莊區西盛里新樹路三一三號一樓,M01,押出成型程序,操作,操作,操作,119/11/03
新北市,F06A4032,元茂熱處理工業有限公司,新北市新莊區化成路一九五巷一三號一樓,,,,,,
新北市,F06A4032,元茂熱處理工業有限公司,新北市新莊區化成路一九五巷一三號一樓,M01,其他金屬熱處理程序,操作,操作,操作,118/07/22
新北市,F06A5040,特異有限公司,新北市新莊區民安路四二○巷四號一、二樓,,,,,,
新北市,F06A5040,特異有限公司,新北市新莊區民安路四二○巷四號一、二樓,M01,其他金屬表面處理程序,操作,操作,操作,118/04/11
新北市,F06B0116,三崙實業股份有限公司,新北市新莊區西盛里環漢路三段 五二七號一、二樓,,,,,,
新北市,F06B0116,三崙實業股份有限公司,新北市新莊區西盛里環漢路三段 五二七號一、二樓,M01,鋁鑄造製造程序,操作,操作,操作,115/09/08
新北市,F06B2093,信鍇實業股份有限公司第1廠,新北市新莊區建安里建國二路九九號,,,,,,
新北市,F06B2093,信鍇實業股份有限公司第1廠,新北市新莊區建安里建國二路九九號,M01,鋅壓鑄件製造程序,操作,操作,操作,118/04/14
新北市,F06B3803,上將食品有限公司,新北市新莊區頭前里幸福東路八六號一、二、三樓、九○號、九二號,,,,,,
新北市,F06B3803,上將食品有限公司,新北市新莊區頭前里幸福東路八六號一、二、三樓、九○號、九二號,M01,其他食品製造程序,操作,操作,操作,118/12/21
新北市,F06C0866,東方國際塗料股份有限公司,新北市新莊區西盛里民安西路四六○巷二○號一樓,,,,,,
新北市,F06C0866,東方國際塗料股份有限公司,新北市新莊區西盛里民安西路四六○巷二○號一樓,M01,油漆化學製造程序,操作,操作,操作,118/11/19
新北市,F06C1626,釗揚有限公司一廠,新北市新莊區西盛里民安路四二○巷二三號一樓,,,,,,
新北市,F06C1626,釗揚有限公司一廠,新北市新莊區西盛里民安路四二○巷二三號一樓,M01,塑膠品塗裝程序,操作,操作,操作,119/10/08
新北市,F06C2931,鈺彩企業股份有限公司,新北市新莊區頭前里化成路二一一巷二二號二樓,,,,,,
新北市,F06C2931,鈺彩企業股份有限公司,新北市新莊區頭前里化成路二一一巷二二號二樓,M01,化粧品製造程序,操作,操作,操作,115/06/02
新北市,F06C3256,荷旺企業有限公司(新莊廠),新北市新莊區西盛里新樹路五○一號,,,,,,
新北市,F06C3256,荷旺企業有限公司(新莊廠),新北市新莊區西盛里新樹路五○一號,M01,其他食品製造程序,操作,操作,操作,116/03/28
新北市,F06C4105,皇盛科技股份有限公司,新北市新莊區西盛里新樹路三三三巷一八號之一,,,,,,
新北市,F06C4105,皇盛科技股份有限公司,新北市新莊區西盛里新樹路三三三巷一八號之一,M01,塑膠品塗裝程序,操作,操作,操作,115/11/18
新北市,F06C6210,隆健有限公司,新北市新莊區西盛里瓊林南路一八七巷二二號(一、二、三、四樓),,,,,,
新北市,F06C6210,隆健有限公司,新北市新莊區西盛里瓊林南路一八七巷二二號(一、二、三、四樓),M01,其他金屬表面處理程序,操作,操作,操作,117/04/16
新北市,F06C6290,嘉鴻企業有限公司,新北市新莊區西盛里瓊林南路一八七巷四八號,,,,,,
新北市,F06C6290,嘉鴻企業有限公司,新北市新莊區西盛里瓊林南路一八七巷四八號,M01,金屬電鍍處理程序,操作,操作,操作,117/12/07
新北市,F06C6349,元和工業股份有限公司,新北市新莊區瓊林里瓊林南路一○三巷六號一樓,,,,,,
新北市,F06C6349,元和工業股份有限公司,新北市新莊區瓊林里瓊林南路一○三巷六號一樓,M01,鋁鑄造製造程序,操作,操作,操作,117/12/21
新北市,F06C7703,飛瑞工業有限公司,新北市新莊區西盛里民安路三八七巷六號一、二、三樓,,,,,,
新北市,F06C7703,飛瑞工業有限公司,新北市新莊區西盛里民安路三八七巷六號一、二、三樓,M01,非鐵金屬製品鑄造程序,操作,操作,操作,117/12/18
新北市,F06C8830,千友企業有限公司第二廠,新北市新莊區建安里建國二路八三號之二二(一、二、三、四樓),,,,,,
新北市,F06C8830,千友企業有限公司第二廠,新北市新莊區建安里建國二路八三號之二二(一、二、三、四樓),M01,印刷電路板製造程序,操作,操作,操作,119/01/22
新北市,F06C9204,鈦生利企業有限公司(一廠),新北市新莊區福興里五權二路二二號七樓之六,,,,,,
新北市,F06C9204,鈦生利企業有限公司(一廠),新北市新莊區福興里五權二路二二號七樓之六,M01,其他清潔用品製造程序,設置,設置,設置,119/06/01
新北市,F06C9511,鈦吉精密有限公司,新北市新莊區西盛里瓊林南路一八七巷四六號,,,,,,
新北市,F06C9511,鈦吉精密有限公司,新北市新莊區西盛里瓊林南路一八七巷四六號,M01,金屬電鍍處理程序,操作,操作,操作,119/07/22
新北市,F06D0110,冠閎實業有限公司,新北市新莊區頭前里化成路二六七巷三一號一樓,,,,,,
新北市,F06D0110,冠閎實業有限公司,新北市新莊區頭前里化成路二六七巷三一號一樓,M01,飼料製造程序,操作,操作,操作,119/08/07
